intended_class,intended_route,matrix_position,pulse,design_cell_count,all_four_arms_rhythmic_cells,a1m0_rhythmic_failure_cells,a1m1_rhythmic_failure_cells,lr_class_marginal_delta_deg_complete_cells,lr_class_marginal_delta_deg_median,lr_class_marginal_delta_deg_range_min,lr_class_marginal_delta_deg_range_max,lr_class_marginal_delta_deg_negative_cells,lr_class_marginal_delta_deg_neutral_cells,lr_class_marginal_delta_deg_positive_cells,lr_route_marginal_delta_deg_complete_cells,lr_route_marginal_delta_deg_median,lr_route_marginal_delta_deg_range_min,lr_route_marginal_delta_deg_range_max,lr_route_marginal_delta_deg_negative_cells,lr_route_marginal_delta_deg_neutral_cells,lr_route_marginal_delta_deg_positive_cells,lr_joint_delta_deg_complete_cells,lr_joint_delta_deg_median,lr_joint_delta_deg_range_min,lr_joint_delta_deg_range_max,lr_joint_delta_deg_negative_cells,lr_joint_delta_deg_neutral_cells,lr_joint_delta_deg_positive_cells,lr_nonadditivity_deg_complete_cells,lr_nonadditivity_deg_median,lr_nonadditivity_deg_range_min,lr_nonadditivity_deg_range_max,lr_nonadditivity_deg_negative_cells,lr_nonadditivity_deg_neutral_cells,lr_nonadditivity_deg_positive_cells,fe_class_marginal_delta_deg_complete_cells,fe_class_marginal_delta_deg_median,fe_class_marginal_delta_deg_range_min,fe_class_marginal_delta_deg_range_max,fe_class_marginal_delta_deg_negative_cells,fe_class_marginal_delta_deg_neutral_cells,fe_class_marginal_delta_deg_positive_cells,fe_route_marginal_delta_deg_complete_cells,fe_route_marginal_delta_deg_median,fe_route_marginal_delta_deg_range_min,fe_route_marginal_delta_deg_range_max,fe_route_marginal_delta_deg_negative_cells,fe_route_marginal_delta_deg_neutral_cells,fe_route_marginal_delta_deg_positive_cells,fe_joint_delta_deg_complete_cells,fe_joint_delta_deg_median,fe_joint_delta_deg_range_min,fe_joint_delta_deg_range_max,fe_joint_delta_deg_negative_cells,fe_joint_delta_deg_neutral_cells,fe_joint_delta_deg_positive_cells,fe_nonadditivity_deg_complete_cells,fe_nonadditivity_deg_median,fe_nonadditivity_deg_range_min,fe_nonadditivity_deg_range_max,fe_nonadditivity_deg_negative_cells,fe_nonadditivity_deg_neutral_cells,fe_nonadditivity_deg_positive_cells,a0m0_recovery_eligible_cells,a0m0_recovery_event_observed_cells,a1m0_recovery_eligible_cells,a1m0_recovery_event_observed_cells,a0m1_recovery_eligible_cells,a0m1_recovery_event_observed_cells,a1m1_recovery_eligible_cells,a1m1_recovery_event_observed_cells,aggregation_basis,independent_stochastic_realization_count,inferential_scope,generated_at_utc,publication_script_version,publication_script_sha256,protocol_spec_sha256,locked_protocol_sha256,source_a_to_d_script_sha256,source_e_f_script_sha256,source_g_h_script_sha256,output_row_count
RG,RG,diagonal,none,9,0,9,9,0,,,,0,0,0,9,0.1001917426,-5.109835655,1.150952189,4,0,5,0,,,,0,0,0,0,,,,0,0,0,0,,,,0,0,0,9,0.1422541386,-5.182846303,0.9445109457,3,0,6,0,,,,0,0,0,0,,,,0,0,0,,,,,,,,,descriptive design grid within one frozen realization; ranges are not uncertainty intervals,1,conditional on one frozen realization; no sampling inference,2026-08-26T18:12:43.884305+00:00,publication-outputs-1.0.0,0950b556111bec172d56ad34fe3569f251832a44e44c7eb43f636e6af321a5a1,ac36628fef7684bc08672b4c0678d32822a62f1b86b86ed9e5e19afa29f97220,cf2fef52687428f0eab74fc123ceb2a36cb6d0fc70d5442d221c955a4753ae2f,a0b23907336269b78a7cfd2eb7057232c7afcf87129f8a4c9d0f5e93faa0a5ef,d0bde0ec0552c341e5ead1b4598d63352fb999a1674433bd60a7c7c3d3287ac0,9c306d57a391d92a493f0b9590b5ec0d2af7679ab1dc1116abab6b6253017763,300
RG,RG,diagonal,excitatory,9,0,9,9,0,,,,0,0,0,9,0.1303040684,-17.37539699,22.51025205,4,0,5,0,,,,0,0,0,0,,,,0,0,0,0,,,,0,0,0,9,-0.2203954482,-11.91543775,27.31094382,5,0,4,0,,,,0,0,0,0,,,,0,0,0,9,9,0,0,9,9,0,0,descriptive design grid within one frozen realization; ranges are not uncertainty intervals,1,conditional on one frozen realization; no sampling inference,2026-08-26T18:12:43.884305+00:00,publication-outputs-1.0.0,0950b556111bec172d56ad34fe3569f251832a44e44c7eb43f636e6af321a5a1,ac36628fef7684bc08672b4c0678d32822a62f1b86b86ed9e5e19afa29f97220,cf2fef52687428f0eab74fc123ceb2a36cb6d0fc70d5442d221c955a4753ae2f,a0b23907336269b78a7cfd2eb7057232c7afcf87129f8a4c9d0f5e93faa0a5ef,d0bde0ec0552c341e5ead1b4598d63352fb999a1674433bd60a7c7c3d3287ac0,9c306d57a391d92a493f0b9590b5ec0d2af7679ab1dc1116abab6b6253017763,300
RG,RG,diagonal,inhibitory,9,0,9,9,0,,,,0,0,0,9,-0.3525882725,-5.879007006,2.330552888,5,0,4,0,,,,0,0,0,0,,,,0,0,0,0,,,,0,0,0,9,0.03846927553,-4.383657952,0.545177358,3,0,6,0,,,,0,0,0,0,,,,0,0,0,9,9,0,0,9,9,0,0,descriptive design grid within one frozen realization; ranges are not uncertainty intervals,1,conditional on one frozen realization; no sampling inference,2026-08-26T18:12:43.884305+00:00,publication-outputs-1.0.0,0950b556111bec172d56ad34fe3569f251832a44e44c7eb43f636e6af321a5a1,ac36628fef7684bc08672b4c0678d32822a62f1b86b86ed9e5e19afa29f97220,cf2fef52687428f0eab74fc123ceb2a36cb6d0fc70d5442d221c955a4753ae2f,a0b23907336269b78a7cfd2eb7057232c7afcf87129f8a4c9d0f5e93faa0a5ef,d0bde0ec0552c341e5ead1b4598d63352fb999a1674433bd60a7c7c3d3287ac0,9c306d57a391d92a493f0b9590b5ec0d2af7679ab1dc1116abab6b6253017763,300
RG,PF,off_diagonal,none,9,0,9,9,0,,,,0,0,0,9,0.03039713982,-10.82724485,5.29148442,4,0,5,0,,,,0,0,0,0,,,,0,0,0,0,,,,0,0,0,9,-0.3726475631,-14.0961597,7.347511887,8,0,1,0,,,,0,0,0,0,,,,0,0,0,,,,,,,,,descriptive design grid within one frozen realization; ranges are not uncertainty intervals,1,conditional on one frozen realization; no sampling inference,2026-08-26T18:12:43.884305+00:00,publication-outputs-1.0.0,0950b556111bec172d56ad34fe3569f251832a44e44c7eb43f636e6af321a5a1,ac36628fef7684bc08672b4c0678d32822a62f1b86b86ed9e5e19afa29f97220,cf2fef52687428f0eab74fc123ceb2a36cb6d0fc70d5442d221c955a4753ae2f,a0b23907336269b78a7cfd2eb7057232c7afcf87129f8a4c9d0f5e93faa0a5ef,d0bde0ec0552c341e5ead1b4598d63352fb999a1674433bd60a7c7c3d3287ac0,9c306d57a391d92a493f0b9590b5ec0d2af7679ab1dc1116abab6b6253017763,300
RG,PF,off_diagonal,excitatory,9,0,9,9,0,,,,0,0,0,9,0.1445608819,-16.85700968,5.35105073,3,0,6,0,,,,0,0,0,0,,,,0,0,0,0,,,,0,0,0,9,0.02364516252,-14.280437,5.85211782,4,0,5,0,,,,0,0,0,0,,,,0,0,0,9,9,0,0,9,9,0,0,descriptive design grid within one frozen realization; ranges are not uncertainty intervals,1,conditional on one frozen realization; no sampling inference,2026-08-26T18:12:43.884305+00:00,publication-outputs-1.0.0,0950b556111bec172d56ad34fe3569f251832a44e44c7eb43f636e6af321a5a1,ac36628fef7684bc08672b4c0678d32822a62f1b86b86ed9e5e19afa29f97220,cf2fef52687428f0eab74fc123ceb2a36cb6d0fc70d5442d221c955a4753ae2f,a0b23907336269b78a7cfd2eb7057232c7afcf87129f8a4c9d0f5e93faa0a5ef,d0bde0ec0552c341e5ead1b4598d63352fb999a1674433bd60a7c7c3d3287ac0,9c306d57a391d92a493f0b9590b5ec0d2af7679ab1dc1116abab6b6253017763,300
RG,PF,off_diagonal,inhibitory,9,0,9,9,0,,,,0,0,0,9,-1.420871879,-5.577497408,2.74119681,5,0,4,0,,,,0,0,0,0,,,,0,0,0,0,,,,0,0,0,9,-0.01054312042,-5.838100381,1.099181112,5,0,4,0,,,,0,0,0,0,,,,0,0,0,9,9,0,0,9,9,0,0,descriptive design grid within one frozen realization; ranges are not uncertainty intervals,1,conditional on one frozen realization; no sampling inference,2026-08-26T18:12:43.884305+00:00,publication-outputs-1.0.0,0950b556111bec172d56ad34fe3569f251832a44e44c7eb43f636e6af321a5a1,ac36628fef7684bc08672b4c0678d32822a62f1b86b86ed9e5e19afa29f97220,cf2fef52687428f0eab74fc123ceb2a36cb6d0fc70d5442d221c955a4753ae2f,a0b23907336269b78a7cfd2eb7057232c7afcf87129f8a4c9d0f5e93faa0a5ef,d0bde0ec0552c341e5ead1b4598d63352fb999a1674433bd60a7c7c3d3287ac0,9c306d57a391d92a493f0b9590b5ec0d2af7679ab1dc1116abab6b6253017763,300
RG,MN,off_diagonal,none,9,0,9,9,0,,,,0,0,0,9,-0.1301498489,-13.12044858,11.18795089,5,0,4,0,,,,0,0,0,0,,,,0,0,0,0,,,,0,0,0,9,-0.1424882411,-14.63500264,8.048894925,5,0,4,0,,,,0,0,0,0,,,,0,0,0,,,,,,,,,descriptive design grid within one frozen realization; ranges are not uncertainty intervals,1,conditional on one frozen realization; no sampling inference,2026-08-26T18:12:43.884305+00:00,publication-outputs-1.0.0,0950b556111bec172d56ad34fe3569f251832a44e44c7eb43f636e6af321a5a1,ac36628fef7684bc08672b4c0678d32822a62f1b86b86ed9e5e19afa29f97220,cf2fef52687428f0eab74fc123ceb2a36cb6d0fc70d5442d221c955a4753ae2f,a0b23907336269b78a7cfd2eb7057232c7afcf87129f8a4c9d0f5e93faa0a5ef,d0bde0ec0552c341e5ead1b4598d63352fb999a1674433bd60a7c7c3d3287ac0,9c306d57a391d92a493f0b9590b5ec0d2af7679ab1dc1116abab6b6253017763,300
RG,MN,off_diagonal,excitatory,9,0,9,9,0,,,,0,0,0,9,0.1554482056,-13.29057422,5.662073151,3,0,6,0,,,,0,0,0,0,,,,0,0,0,0,,,,0,0,0,9,0.1418366257,-8.091418611,11.16366843,3,0,6,0,,,,0,0,0,0,,,,0,0,0,9,9,0,0,9,9,0,0,descriptive design grid within one frozen realization; ranges are not uncertainty intervals,1,conditional on one frozen realization; no sampling inference,2026-08-26T18:12:43.884305+00:00,publication-outputs-1.0.0,0950b556111bec172d56ad34fe3569f251832a44e44c7eb43f636e6af321a5a1,ac36628fef7684bc08672b4c0678d32822a62f1b86b86ed9e5e19afa29f97220,cf2fef52687428f0eab74fc123ceb2a36cb6d0fc70d5442d221c955a4753ae2f,a0b23907336269b78a7cfd2eb7057232c7afcf87129f8a4c9d0f5e93faa0a5ef,d0bde0ec0552c341e5ead1b4598d63352fb999a1674433bd60a7c7c3d3287ac0,9c306d57a391d92a493f0b9590b5ec0d2af7679ab1dc1116abab6b6253017763,300
RG,MN,off_diagonal,inhibitory,9,0,9,9,0,,,,0,0,0,9,-0.02585095362,-7.212839255,14.37606313,5,0,4,0,,,,0,0,0,0,,,,0,0,0,0,,,,0,0,0,9,0.0119287897,-6.923700649,10.98219517,4,0,5,0,,,,0,0,0,0,,,,0,0,0,9,9,0,0,9,9,0,0,descriptive design grid within one frozen realization; ranges are not uncertainty intervals,1,conditional on one frozen realization; no sampling inference,2026-08-26T18:12:43.884305+00:00,publication-outputs-1.0.0,0950b556111bec172d56ad34fe3569f251832a44e44c7eb43f636e6af321a5a1,ac36628fef7684bc08672b4c0678d32822a62f1b86b86ed9e5e19afa29f97220,cf2fef52687428f0eab74fc123ceb2a36cb6d0fc70d5442d221c955a4753ae2f,a0b23907336269b78a7cfd2eb7057232c7afcf87129f8a4c9d0f5e93faa0a5ef,d0bde0ec0552c341e5ead1b4598d63352fb999a1674433bd60a7c7c3d3287ac0,9c306d57a391d92a493f0b9590b5ec0d2af7679ab1dc1116abab6b6253017763,300
RG,V0D,off_diagonal,none,9,0,9,9,0,,,,0,0,0,9,-0.3163063316,-1.86486278,2.716080324,5,0,4,0,,,,0,0,0,0,,,,0,0,0,0,,,,0,0,0,9,0.05915773152,-2.425927127,1.184054278,4,0,5,0,,,,0,0,0,0,,,,0,0,0,,,,,,,,,descriptive design grid within one frozen realization; ranges are not uncertainty intervals,1,conditional on one frozen realization; no sampling inference,2026-08-26T18:12:43.884305+00:00,publication-outputs-1.0.0,0950b556111bec172d56ad34fe3569f251832a44e44c7eb43f636e6af321a5a1,ac36628fef7684bc08672b4c0678d32822a62f1b86b86ed9e5e19afa29f97220,cf2fef52687428f0eab74fc123ceb2a36cb6d0fc70d5442d221c955a4753ae2f,a0b23907336269b78a7cfd2eb7057232c7afcf87129f8a4c9d0f5e93faa0a5ef,d0bde0ec0552c341e5ead1b4598d63352fb999a1674433bd60a7c7c3d3287ac0,9c306d57a391d92a493f0b9590b5ec0d2af7679ab1dc1116abab6b6253017763,300
RG,V0D,off_diagonal,excitatory,9,0,9,9,0,,,,0,0,0,9,-0.8931558241,-8.304737349,1.925695312,5,0,4,0,,,,0,0,0,0,,,,0,0,0,0,,,,0,0,0,9,-0.08614679914,-13.93033481,2.435247222,6,0,3,0,,,,0,0,0,0,,,,0,0,0,9,9,0,0,9,9,0,0,descriptive design grid within one frozen realization; ranges are not uncertainty intervals,1,conditional on one frozen realization; no sampling inference,2026-08-26T18:12:43.884305+00:00,publication-outputs-1.0.0,0950b556111bec172d56ad34fe3569f251832a44e44c7eb43f636e6af321a5a1,ac36628fef7684bc08672b4c0678d32822a62f1b86b86ed9e5e19afa29f97220,cf2fef52687428f0eab74fc123ceb2a36cb6d0fc70d5442d221c955a4753ae2f,a0b23907336269b78a7cfd2eb7057232c7afcf87129f8a4c9d0f5e93faa0a5ef,d0bde0ec0552c341e5ead1b4598d63352fb999a1674433bd60a7c7c3d3287ac0,9c306d57a391d92a493f0b9590b5ec0d2af7679ab1dc1116abab6b6253017763,300
RG,V0D,off_diagonal,inhibitory,9,0,9,9,0,,,,0,0,0,9,0.02756715173,-4.949540148,6.2249945,4,0,5,0,,,,0,0,0,0,,,,0,0,0,0,,,,0,0,0,9,0.1183873452,-2.76720121,5.287955437,3,0,6,0,,,,0,0,0,0,,,,0,0,0,9,9,0,0,9,9,0,0,descriptive design grid within one frozen realization; ranges are not uncertainty intervals,1,conditional on one frozen realization; no sampling inference,2026-08-26T18:12:43.884305+00:00,publication-outputs-1.0.0,0950b556111bec172d56ad34fe3569f251832a44e44c7eb43f636e6af321a5a1,ac36628fef7684bc08672b4c0678d32822a62f1b86b86ed9e5e19afa29f97220,cf2fef52687428f0eab74fc123ceb2a36cb6d0fc70d5442d221c955a4753ae2f,a0b23907336269b78a7cfd2eb7057232c7afcf87129f8a4c9d0f5e93faa0a5ef,d0bde0ec0552c341e5ead1b4598d63352fb999a1674433bd60a7c7c3d3287ac0,9c306d57a391d92a493f0b9590b5ec0d2af7679ab1dc1116abab6b6253017763,300
RG,V0V,off_diagonal,none,9,0,9,9,0,,,,0,0,0,9,-0.003996768116,-11.72681718,14.0899718,5,0,4,0,,,,0,0,0,0,,,,0,0,0,0,,,,0,0,0,9,-0.07402181101,-12.77463156,11.81795365,6,0,3,0,,,,0,0,0,0,,,,0,0,0,,,,,,,,,descriptive design grid within one frozen realization; ranges are not uncertainty intervals,1,conditional on one frozen realization; no sampling inference,2026-08-26T18:12:43.884305+00:00,publication-outputs-1.0.0,0950b556111bec172d56ad34fe3569f251832a44e44c7eb43f636e6af321a5a1,ac36628fef7684bc08672b4c0678d32822a62f1b86b86ed9e5e19afa29f97220,cf2fef52687428f0eab74fc123ceb2a36cb6d0fc70d5442d221c955a4753ae2f,a0b23907336269b78a7cfd2eb7057232c7afcf87129f8a4c9d0f5e93faa0a5ef,d0bde0ec0552c341e5ead1b4598d63352fb999a1674433bd60a7c7c3d3287ac0,9c306d57a391d92a493f0b9590b5ec0d2af7679ab1dc1116abab6b6253017763,300
RG,V0V,off_diagonal,excitatory,9,0,9,9,0,,,,0,0,0,9,0,-11.71076518,8.781780944,4,1,4,0,,,,0,0,0,0,,,,0,0,0,0,,,,0,0,0,9,0.04881498003,-14.89459464,4.591250911,3,1,5,0,,,,0,0,0,0,,,,0,0,0,9,9,0,0,9,9,0,0,descriptive design grid within one frozen realization; ranges are not uncertainty intervals,1,conditional on one frozen realization; no sampling inference,2026-08-26T18:12:43.884305+00:00,publication-outputs-1.0.0,0950b556111bec172d56ad34fe3569f251832a44e44c7eb43f636e6af321a5a1,ac36628fef7684bc08672b4c0678d32822a62f1b86b86ed9e5e19afa29f97220,cf2fef52687428f0eab74fc123ceb2a36cb6d0fc70d5442d221c955a4753ae2f,a0b23907336269b78a7cfd2eb7057232c7afcf87129f8a4c9d0f5e93faa0a5ef,d0bde0ec0552c341e5ead1b4598d63352fb999a1674433bd60a7c7c3d3287ac0,9c306d57a391d92a493f0b9590b5ec0d2af7679ab1dc1116abab6b6253017763,300
RG,V0V,off_diagonal,inhibitory,9,0,9,9,0,,,,0,0,0,9,0.05172836118,-3.688030454,7.0051361,3,0,6,0,,,,0,0,0,0,,,,0,0,0,0,,,,0,0,0,9,-0.08994719801,-5.228123276,6.380009816,6,0,3,0,,,,0,0,0,0,,,,0,0,0,9,9,0,0,9,9,0,0,descriptive design grid within one frozen realization; ranges are not uncertainty intervals,1,conditional on one frozen realization; no sampling inference,2026-08-26T18:12:43.884305+00:00,publication-outputs-1.0.0,0950b556111bec172d56ad34fe3569f251832a44e44c7eb43f636e6af321a5a1,ac36628fef7684bc08672b4c0678d32822a62f1b86b86ed9e5e19afa29f97220,cf2fef52687428f0eab74fc123ceb2a36cb6d0fc70d5442d221c955a4753ae2f,a0b23907336269b78a7cfd2eb7057232c7afcf87129f8a4c9d0f5e93faa0a5ef,d0bde0ec0552c341e5ead1b4598d63352fb999a1674433bd60a7c7c3d3287ac0,9c306d57a391d92a493f0b9590b5ec0d2af7679ab1dc1116abab6b6253017763,300
RG,V2a,off_diagonal,none,9,0,9,9,0,,,,0,0,0,9,-0.09024583231,-9.644689165,1.890867591,5,0,4,0,,,,0,0,0,0,,,,0,0,0,0,,,,0,0,0,9,-0.2559473438,-8.367892515,2.120312378,5,0,4,0,,,,0,0,0,0,,,,0,0,0,,,,,,,,,descriptive design grid within one frozen realization; ranges are not uncertainty intervals,1,conditional on one frozen realization; no sampling inference,2026-08-26T18:12:43.884305+00:00,publication-outputs-1.0.0,0950b556111bec172d56ad34fe3569f251832a44e44c7eb43f636e6af321a5a1,ac36628fef7684bc08672b4c0678d32822a62f1b86b86ed9e5e19afa29f97220,cf2fef52687428f0eab74fc123ceb2a36cb6d0fc70d5442d221c955a4753ae2f,a0b23907336269b78a7cfd2eb7057232c7afcf87129f8a4c9d0f5e93faa0a5ef,d0bde0ec0552c341e5ead1b4598d63352fb999a1674433bd60a7c7c3d3287ac0,9c306d57a391d92a493f0b9590b5ec0d2af7679ab1dc1116abab6b6253017763,300
RG,V2a,off_diagonal,excitatory,9,0,9,9,0,,,,0,0,0,9,0.9089382621,-5.665078828,21.73198266,3,0,6,0,,,,0,0,0,0,,,,0,0,0,0,,,,0,0,0,9,-0.2902632994,-5.622391402,5.326276511,6,0,3,0,,,,0,0,0,0,,,,0,0,0,9,9,0,0,9,9,0,0,descriptive design grid within one frozen realization; ranges are not uncertainty intervals,1,conditional on one frozen realization; no sampling inference,2026-08-26T18:12:43.884305+00:00,publication-outputs-1.0.0,0950b556111bec172d56ad34fe3569f251832a44e44c7eb43f636e6af321a5a1,ac36628fef7684bc08672b4c0678d32822a62f1b86b86ed9e5e19afa29f97220,cf2fef52687428f0eab74fc123ceb2a36cb6d0fc70d5442d221c955a4753ae2f,a0b23907336269b78a7cfd2eb7057232c7afcf87129f8a4c9d0f5e93faa0a5ef,d0bde0ec0552c341e5ead1b4598d63352fb999a1674433bd60a7c7c3d3287ac0,9c306d57a391d92a493f0b9590b5ec0d2af7679ab1dc1116abab6b6253017763,300
RG,V2a,off_diagonal,inhibitory,9,0,9,9,0,,,,0,0,0,9,-1.143338442,-4.540148965,6.477691251,5,0,4,0,,,,0,0,0,0,,,,0,0,0,0,,,,0,0,0,9,0.07422689279,-1.949120915,1.425321008,4,0,5,0,,,,0,0,0,0,,,,0,0,0,9,9,0,0,9,9,0,0,descriptive design grid within one frozen realization; ranges are not uncertainty intervals,1,conditional on one frozen realization; no sampling inference,2026-08-26T18:12:43.884305+00:00,publication-outputs-1.0.0,0950b556111bec172d56ad34fe3569f251832a44e44c7eb43f636e6af321a5a1,ac36628fef7684bc08672b4c0678d32822a62f1b86b86ed9e5e19afa29f97220,cf2fef52687428f0eab74fc123ceb2a36cb6d0fc70d5442d221c955a4753ae2f,a0b23907336269b78a7cfd2eb7057232c7afcf87129f8a4c9d0f5e93faa0a5ef,d0bde0ec0552c341e5ead1b4598d63352fb999a1674433bd60a7c7c3d3287ac0,9c306d57a391d92a493f0b9590b5ec0d2af7679ab1dc1116abab6b6253017763,300
RG,V3,off_diagonal,none,9,0,9,9,0,,,,0,0,0,9,0,-5.683552172,5.507114803,2,4,3,0,,,,0,0,0,0,,,,0,0,0,0,,,,0,0,0,9,0,-4.121713865,5.204434927,2,4,3,0,,,,0,0,0,0,,,,0,0,0,,,,,,,,,descriptive design grid within one frozen realization; ranges are not uncertainty intervals,1,conditional on one frozen realization; no sampling inference,2026-08-26T18:12:43.884305+00:00,publication-outputs-1.0.0,0950b556111bec172d56ad34fe3569f251832a44e44c7eb43f636e6af321a5a1,ac36628fef7684bc08672b4c0678d32822a62f1b86b86ed9e5e19afa29f97220,cf2fef52687428f0eab74fc123ceb2a36cb6d0fc70d5442d221c955a4753ae2f,a0b23907336269b78a7cfd2eb7057232c7afcf87129f8a4c9d0f5e93faa0a5ef,d0bde0ec0552c341e5ead1b4598d63352fb999a1674433bd60a7c7c3d3287ac0,9c306d57a391d92a493f0b9590b5ec0d2af7679ab1dc1116abab6b6253017763,300
RG,V3,off_diagonal,excitatory,9,0,9,9,0,,,,0,0,0,9,0.0001278292883,-0.5483558344,3.781604423,2,2,5,0,,,,0,0,0,0,,,,0,0,0,0,,,,0,0,0,9,0,-0.6034253864,4.628985039,4,2,3,0,,,,0,0,0,0,,,,0,0,0,9,9,0,0,9,9,0,0,descriptive design grid within one frozen realization; ranges are not uncertainty intervals,1,conditional on one frozen realization; no sampling inference,2026-08-26T18:12:43.884305+00:00,publication-outputs-1.0.0,0950b556111bec172d56ad34fe3569f251832a44e44c7eb43f636e6af321a5a1,ac36628fef7684bc08672b4c0678d32822a62f1b86b86ed9e5e19afa29f97220,cf2fef52687428f0eab74fc123ceb2a36cb6d0fc70d5442d221c955a4753ae2f,a0b23907336269b78a7cfd2eb7057232c7afcf87129f8a4c9d0f5e93faa0a5ef,d0bde0ec0552c341e5ead1b4598d63352fb999a1674433bd60a7c7c3d3287ac0,9c306d57a391d92a493f0b9590b5ec0d2af7679ab1dc1116abab6b6253017763,300
RG,V3,off_diagonal,inhibitory,9,0,9,9,0,,,,0,0,0,9,0.009495716273,-0.9981802217,1.617788149,2,2,5,0,,,,0,0,0,0,,,,0,0,0,0,,,,0,0,0,9,0,-1.465663406,0.6712800417,3,3,3,0,,,,0,0,0,0,,,,0,0,0,9,9,0,0,9,9,0,0,descriptive design grid within one frozen realization; ranges are not uncertainty intervals,1,conditional on one frozen realization; no sampling inference,2026-08-26T18:12:43.884305+00:00,publication-outputs-1.0.0,0950b556111bec172d56ad34fe3569f251832a44e44c7eb43f636e6af321a5a1,ac36628fef7684bc08672b4c0678d32822a62f1b86b86ed9e5e19afa29f97220,cf2fef52687428f0eab74fc123ceb2a36cb6d0fc70d5442d221c955a4753ae2f,a0b23907336269b78a7cfd2eb7057232c7afcf87129f8a4c9d0f5e93faa0a5ef,d0bde0ec0552c341e5ead1b4598d63352fb999a1674433bd60a7c7c3d3287ac0,9c306d57a391d92a493f0b9590b5ec0d2af7679ab1dc1116abab6b6253017763,300
RG,V1Ia,off_diagonal,none,9,0,9,9,0,,,,0,0,0,9,-0.1269727105,-0.9610000183,3.336709977,5,0,4,0,,,,0,0,0,0,,,,0,0,0,0,,,,0,0,0,9,0.02036111692,-4.323843525,6.809697092,4,0,5,0,,,,0,0,0,0,,,,0,0,0,,,,,,,,,descriptive design grid within one frozen realization; ranges are not uncertainty intervals,1,conditional on one frozen realization; no sampling inference,2026-08-26T18:12:43.884305+00:00,publication-outputs-1.0.0,0950b556111bec172d56ad34fe3569f251832a44e44c7eb43f636e6af321a5a1,ac36628fef7684bc08672b4c0678d32822a62f1b86b86ed9e5e19afa29f97220,cf2fef52687428f0eab74fc123ceb2a36cb6d0fc70d5442d221c955a4753ae2f,a0b23907336269b78a7cfd2eb7057232c7afcf87129f8a4c9d0f5e93faa0a5ef,d0bde0ec0552c341e5ead1b4598d63352fb999a1674433bd60a7c7c3d3287ac0,9c306d57a391d92a493f0b9590b5ec0d2af7679ab1dc1116abab6b6253017763,300
RG,V1Ia,off_diagonal,excitatory,9,0,9,9,0,,,,0,0,0,9,0.1425756599,-17.16208498,20.40886289,4,0,5,0,,,,0,0,0,0,,,,0,0,0,0,,,,0,0,0,9,0.6024481381,-12.79642834,9.150176688,3,0,6,0,,,,0,0,0,0,,,,0,0,0,9,9,0,0,9,9,0,0,descriptive design grid within one frozen realization; ranges are not uncertainty intervals,1,conditional on one frozen realization; no sampling inference,2026-08-26T18:12:43.884305+00:00,publication-outputs-1.0.0,0950b556111bec172d56ad34fe3569f251832a44e44c7eb43f636e6af321a5a1,ac36628fef7684bc08672b4c0678d32822a62f1b86b86ed9e5e19afa29f97220,cf2fef52687428f0eab74fc123ceb2a36cb6d0fc70d5442d221c955a4753ae2f,a0b23907336269b78a7cfd2eb7057232c7afcf87129f8a4c9d0f5e93faa0a5ef,d0bde0ec0552c341e5ead1b4598d63352fb999a1674433bd60a7c7c3d3287ac0,9c306d57a391d92a493f0b9590b5ec0d2af7679ab1dc1116abab6b6253017763,300
RG,V1Ia,off_diagonal,inhibitory,9,0,9,9,0,,,,0,0,0,9,0.02756715173,-4.345708136,11.26774037,4,0,5,0,,,,0,0,0,0,,,,0,0,0,0,,,,0,0,0,9,-0.1943476615,-7.71173631,9.725145447,6,0,3,0,,,,0,0,0,0,,,,0,0,0,9,9,0,0,9,9,0,0,descriptive design grid within one frozen realization; ranges are not uncertainty intervals,1,conditional on one frozen realization; no sampling inference,2026-08-26T18:12:43.884305+00:00,publication-outputs-1.0.0,0950b556111bec172d56ad34fe3569f251832a44e44c7eb43f636e6af321a5a1,ac36628fef7684bc08672b4c0678d32822a62f1b86b86ed9e5e19afa29f97220,cf2fef52687428f0eab74fc123ceb2a36cb6d0fc70d5442d221c955a4753ae2f,a0b23907336269b78a7cfd2eb7057232c7afcf87129f8a4c9d0f5e93faa0a5ef,d0bde0ec0552c341e5ead1b4598d63352fb999a1674433bd60a7c7c3d3287ac0,9c306d57a391d92a493f0b9590b5ec0d2af7679ab1dc1116abab6b6253017763,300
